Student_ID,Age,Gender,Attendance_%,Study_Hours_per_Day,Assignments_Completed,Previous_Semester_Marks,Internal_Assessment_Marks,Class_Participation,Discipline_Score,Internet_Access,Parental_Education,Family_Income,Sleep_Hours,Extra_Curricular_Activities,Screen_Time_Hours,Tuition,Stress_Level,Learning_Style,Performance_Category,Pass_Fail,Final_Grade
STU1000,22,Female,81.15234731388641,4.679499989425896,7,82.49880275658316,88.85187803746963,2,10,Limited,High School,Medium,11.348798557768278,5,0.6632185724240403,No,10,Reading,Average,Pass,48.07448415792041
STU1001,19,Other,80.85867575270582,6.235386913180583,5,34.31296408269206,27.93679421287287,9,3,Limited,PhD,Medium,7.64944812386221,0,11.29610445258642,Partial,3,Auditory,Poor,Fail,31.4248131056882
STU1002,23,Male,73.15807490975163,6.02479743817307,10,37.87588544667088,30.053920558323426,6,6,Yes,High School,Very High,4.415026397756662,2,0.5772544416508518,No,7,Visual,Poor,Fail,41.085632042718174
STU1003,20,Other,73.81470056659293,2.062472387737543,1,75.48240891397688,92.77374503536551,1,6,No,PhD,Low,5.038803756283876,2,9.05574781599334,No,2,Auditory,At Risk,Fail,0.31928925484772186
STU1004,22,Female,84.14185031837522,2.481807423501275,1,46.688557095835705,87.50275455343461,9,1,No,High School,Very High,11.71030217898502,5,7.742889237157503,No,9,Auditory,Poor,Fail,32.52907416188045
STU1005,18,Female,56.20014886727172,3.8278591660229715,1,71.14844318474661,56.83025320395519,2,1,Yes,High School,Very High,6.9296981239492474,3,3.81413466889746,No,3,Visual,Poor,Fail,21.924747037268492
STU1006,22,Other,61.166107951417345,0.15231174023398797,5,85.45523144657835,54.40416734217226,5,0,No,Master,Medium,6.777067197665773,3,5.736071197146131,No,2,Kinesthetic,Poor,Fail,21.194014592783006
STU1007,23,Female,92.2982062312033,2.3791821852617883,0,70.38521114649365,64.22397399064961,8,1,No,PhD,Medium,7.375513770146268,5,11.015755543389485,No,3,Kinesthetic,At Risk,Fail,14.809651715099104
STU1008,20,Female,58.53191206072947,3.7910629867539036,2,59.084199900440254,67.73086799052984,3,8,Limited,Bachelor,Low,9.304683470666888,3,10.24330260848408,Partial,3,Visual,At Risk,Fail,6.394702397732213
STU1009,19,Female,72.77857428275794,0.8645543622491498,0,75.23892177789033,40.33732483474438,4,10,Limited,Bachelor,Low,6.285181300179815,2,4.387698554487474,No,8,Auditory,Poor,Fail,24.505617669466453
STU1010,23,Male,82.15836784040104,1.0102071022010035,3,40.05336109922422,52.29934107818019,5,8,Limited,Master,Very High,6.789384686276584,2,4.659498491473155,Yes,6,Visual,Poor,Fail,17.32987485811093
STU1011,23,Male,99.99548960999059,3.705893885898729,0,80.62455968522971,69.57543713111343,2,6,Limited,Bachelor,Medium,9.715064846855753,0,2.581209298699106,No,9,Kinesthetic,At Risk,Fail,7.385033455254375
STU1012,18,Female,66.11747988971992,5.847720252687449,8,78.79175795984155,36.50139088552898,1,10,No,Master,Low,7.15077110673817,5,5.064555138585622,Yes,8,Visual,Poor,Fail,26.502078845275697
STU1013,21,Other,65.68557259749663,6.669991447365465,10,66.00823554666025,99.90665901065688,3,2,Yes,High School,Low,9.422151479010529,1,7.863623163139783,Yes,4,Reading,Average,Pass,40.85237867699778
STU1014,20,Male,90.55530276602005,4.3705111800379886,10,49.51694465092206,42.63515618336299,5,7,No,Bachelor,Very High,11.659957718025973,1,5.4219896299702075,Yes,3,Kinesthetic,Poor,Fail,32.54527846821227
STU1015,17,Other,88.33018667559179,3.797991900373849,5,85.82946506408248,64.19322224175998,3,3,Yes,PhD,Medium,11.662726222203725,3,8.69873548678257,Yes,8,Visual,Average,Pass,41.75647498164764
STU1016,23,Female,83.86455290407291,3.074244547678042,7,65.73852122596121,64.33276749859657,7,4,Yes,High School,High,7.0230581979915065,0,9.683765253070803,No,1,Visual,Average,Pass,41.8474611990207
STU1017,21,Female,67.79377824454173,1.5435919395008497,1,34.142383410162815,56.11881827112831,8,9,Yes,PhD,High,5.107993860310335,1,3.840931773305636,Yes,7,Auditory,At Risk,Fail,13.17247822116199
STU1018,17,Other,59.436347209642946,1.1724960225149177,5,94.3028786288462,39.32347653417154,7,4,No,PhD,Very High,5.261094096437856,3,7.9041275945822385,Yes,1,Auditory,At Risk,Fail,17.225836631082544
STU1019,20,Male,76.52382895509092,6.335171613294465,3,83.74015055408243,65.22824578684155,6,1,Yes,Bachelor,High,10.372997730138431,1,6.521691733168334,Partial,5,Kinesthetic,Poor,Fail,28.416680815005567
STU1020,16,Other,92.57339758789846,3.7200530576986894,6,70.93636033778772,27.281153228008854,1,8,Limited,Bachelor,Medium,3.717481033543566,1,1.237008810730309,Partial,5,Visual,Poor,Fail,28.006578741058583
STU1021,21,Other,93.0266474925152,6.322561963838037,7,60.57778620980308,50.9540890668427,9,5,No,Bachelor,High,3.3637268504227986,2,3.476416367800838,Yes,6,Visual,Poor,Fail,41.12735900628419
STU1022,24,Female,46.509900704226304,5.632664287205038,5,97.19297886291835,37.9401756012803,1,5,Yes,High School,High,9.132753179357767,0,1.4697218447421285,No,9,Kinesthetic,At Risk,Fail,15.332603805606972
STU1023,16,Male,65.70101702878904,1.5511673150670306,0,84.2514401985781,29.934221917515707,9,0,Yes,PhD,Medium,11.191020032554333,2,9.643587664977769,No,3,Kinesthetic,Poor,Fail,34.942813977845795
STU1024,18,Other,67.88331737192496,4.082458113689806,7,67.44951471007855,94.0386344704926,4,1,Yes,Master,Low,5.077228062248052,3,8.397180204963032,No,1,Auditory,Average,Pass,41.47605527913901
STU1025,22,Male,98.6569220514252,3.5521330433814455,10,75.72077266287204,75.99543319546186,3,3,Limited,High School,Medium,3.4911810906678644,1,9.636340236445943,Partial,7,Auditory,At Risk,Fail,12.993755921829855
STU1026,19,Female,80.67988091455507,3.390988048725574,0,49.652528121085936,33.506310587290656,3,7,Limited,Master,Low,11.057588216207398,5,7.697771331086535,No,2,Visual,At Risk,Fail,17.02307907069044
STU1027,24,Male,64.43478503572423,4.340568393630511,8,43.700115992421935,95.9516688479613,3,7,Limited,Bachelor,Low,6.187440460500152,2,6.222971547793666,No,10,Kinesthetic,Poor,Fail,32.04131046440493
STU1028,18,Female,41.56347315913558,7.856655208603503,1,49.132368311285504,37.279368651820604,6,8,Limited,PhD,Very High,7.947487614295327,2,5.705595729989456,Partial,2,Visual,Poor,Fail,37.923849238203985
STU1029,20,Male,73.92310960595177,6.503204781365962,10,50.51952694979087,38.849061103779086,2,0,Limited,Bachelor,Low,10.526226889862315,2,4.0326859006054825,Partial,6,Visual,Poor,Fail,30.666935752574545
STU1030,18,Other,45.764558538301365,7.229699453043133,9,81.78169154470976,30.66163004360492,1,10,No,Bachelor,Very High,5.250029284205557,5,10.50885308775844,Partial,4,Visual,Poor,Fail,28.529461598607085
STU1031,22,Female,90.06699744086578,0.23711666540830034,5,39.80427285034628,78.22825083451863,4,7,No,Bachelor,High,8.410994616131685,1,5.592352374485078,Partial,2,Reading,At Risk,Fail,7.757576623274492
STU1032,20,Other,85.15111963422173,1.1226909343400475,7,84.4311041202375,65.67003461079167,5,3,Limited,High School,Medium,11.923587971517094,1,2.572200585691905,No,2,Auditory,At Risk,Fail,14.231610279353042
STU1033,24,Female,67.63054959449073,0.678109281796508,4,66.63767193528486,24.660090593189654,7,10,Yes,Master,Low,9.671786327689375,5,8.9641902524007,No,3,Visual,At Risk,Fail,16.657898360467563
STU1034,22,Male,65.75264677250198,2.105848040522213,1,56.92011730637613,22.023995953197037,10,4,No,Master,Very High,6.576065507259772,3,4.049782240478621,Yes,7,Auditory,At Risk,Fail,16.00531905495144
STU1035,17,Male,93.84033793412613,3.535139935733204,4,51.02772767155821,62.612759022058455,2,9,Limited,Master,Medium,9.912165327472813,2,2.681619054268778,No,2,Auditory,Poor,Fail,29.08532550588134
STU1036,19,Female,57.3075010250877,5.1364259812471165,0,65.92404231827287,72.12249535381495,3,4,Limited,Bachelor,Medium,3.1959549535963148,1,9.492640720566053,Yes,5,Reading,Poor,Fail,22.402512230259322
